0
Shelter
Porter R & Madeon
100
0
1 0 0 0
0 0 0 1
0 0 0 2
1 1 9 4
0 1 9 5
0 1 9 6
1 0 7 8
0 0 7 9
0 0 7 10
0 1 3 12
0 1 6 12.333
0 1 3 12.666
0 1 7 13
0 1 2 13.333
0 1 7 13.666
0 1 1 14
0 1 8 14.333
0 1 1 14.666
0 1 9 15
0 1 0 15.333
0 1 9 15.666
1 0 4 16
0 0 3 17
0 0 2 18
0 0 1 19
1 1 5 20
0 1 6 21
0 1 7 22
0 1 8 23
1 0 2 24
0 0 2 25
0 0 7 26
0 0 7 27
0 0 3 28
0 0 3 28.333
0 0 4 28.666
0 1 8 29
0 1 8 29.333
0 1 7 29.666
0 1 6 30
0 1 6 30.333
0 1 5 30.666
0 0 1 31
0 0 1 31.333
0 0 2 31.666
0 0 2 32
1 0 2 33
0 1 8 34
1 1 9 35
0 0 5 36
1 0 5 37
0 1 0 38
1 1 1 39
0 1 8 40
1 0 5 41
0 1 9 42
1 0 5 43
0 1 0 44
0 1 0 44.333
0 1 0 44.666
0 0 7 45
0 0 7 45.333
0 0 7 45.666
0 1 4 46
0 1 4 46.333
0 1 4 46.666
0 0 7 47
0 0 7 47.333
0 0 7 47.666
1 1 4 48
0 1 4 49
0 1 4 50
2 1 4 51
1 0 8 52
0 0 7 53
0 0 7 54
2 0 5 55
1 1 5 56
0 0 2 57
0 0 2 58
2 0 2 59
0 1 2 60
0 1 3 60.333
0 1 2 60.666
0 1 7 61
0 1 6 61.333
0 1 7 61.666
0 1 2 62
0 1 1 62.333
0 1 2 62.666
2 1 9 63.333
2 1 9 63.666
2 1 9 63.666
1 0 7 64
2 1 7 66
1 1 3 68
2 0 7 70
1 0 0 72
0 0 1 73
2 0 1 74
2 0 2 75
0 1 8 76
2 1 8 77
2 1 7 78
2 1 6 79
1 0 3 80
0 0 0 82
1 1 8 84
0 1 4 86
1 0 0 88
0 0 0 89
0 0 1 90
0 0 2 91
1 1 7 92
0 1 7 93
0 1 6 94
0 1 5 95
1 0 3 96
1 1 6 100
1 1 9 104
1 0 0 108
1 1 2 112
0 1 4 114
1 0 7 116
0 0 5 118
1 1 7 120
0 1 2 122
1 0 3 124
0 0 4 125
0 1 9 126
0 1 8 127
1 0 0 128
0 0 0 129
0 0 0 130
1 1 9 132
0 1 9 133
0 1 9 134
1 0 7 136
0 0 7 137
0 0 7 138
0 1 3 140
0 1 6 140.333
0 1 3 140.666
0 1 7 141
0 1 2 141.333
0 1 7 141.666
0 1 1 142
0 1 8 142.333
0 1 1 142.666
0 1 9 143
0 1 0 143.333
0 1 9 143.666
1 0 4 144
0 0 3 145
0 0 2 146
0 0 1 147
1 1 5 148
0 1 6 149
0 1 7 150
0 1 8 151
1 0 2 152
0 0 2 153
0 0 7 154
0 0 7 155
0 0 3 156
0 0 3 156.333
0 0 4 156.666
0 1 8 157
0 1 8 157.333
0 1 7 157.666
0 1 6 158
0 1 6 158.333
0 1 5 158.666
0 0 1 159
0 0 1 159.333
0 0 2 159.666
0 0 2 160
1 0 2 161
0 1 8 162
1 1 9 163
0 0 5 164
1 0 5 165
0 1 0 166
1 1 1 167
0 1 8 168
1 0 5 169
0 1 9 170
1 0 5 171
0 1 0 172
0 1 0 172.333
0 1 0 172.666
0 0 7 173
0 0 7 173.333
0 0 7 173.666
0 1 4 174
0 1 4 174.333
0 1 4 174.666
0 0 7 175
0 0 7 175.333
0 0 7 175.666
1 1 4 176
0 1 4 177
0 1 4 178
2 1 4 179
1 0 8 180
0 0 7 181
0 0 7 182
2 0 5 183
1 1 5 184
0 0 2 185
0 0 2 186
2 0 2 187
0 1 2 188
0 1 3 188.333
0 1 2 188.666
0 1 7 189
0 1 6 189.333
0 1 7 189.666
0 1 2 190
0 1 1 190.333
0 1 2 190.666
2 1 9 191.333
2 1 9 191.666
2 1 9 191.666
1 0 7 192
2 1 7 194
1 1 3 196
2 0 7 198
1 0 0 200
0 0 1 201
2 0 1 202
2 0 2 203
0 1 8 204
2 1 8 205
2 1 7 206
2 1 6 207
1 0 3 208
0 0 0 210
1 1 8 212
0 1 4 214
1 0 0 216
0 0 0 217
0 0 1 218
0 0 2 219
1 1 7 220
0 1 7 221
0 1 6 222
0 1 5 223
1 0 3 224
1 1 6 228
1 1 9 232
1 0 0 236
1 1 2 240
0 1 4 242
1 0 7 244
0 0 5 246
1 1 7 248
0 1 2 250
1 0 3 252
0 0 4 253
0 1 9 254
0 1 8 255
1 0 0 256
0 0 0 257
0 0 0 258
1 1 9 260
0 1 9 261
0 1 9 262
1 0 7 264
0 0 7 265
0 0 7 266
0 1 3 268
0 1 6 268.333
0 1 3 268.666
0 1 7 269
0 1 2 269.333
0 1 7 269.666
0 1 1 270
0 1 8 270.333
0 1 1 270.666
0 1 9 271
0 1 0 271.333
0 1 9 271.666
1 0 4 272
0 0 3 273
0 0 2 274
0 0 1 275
1 1 5 276
0 1 6 277
0 1 7 278
0 1 8 279
1 0 2 280
0 0 2 281
0 0 7 282
0 0 7 283
0 0 3 284
0 0 3 284.333
0 0 4 284.666
0 1 8 285
0 1 8 285.333
0 1 7 285.666
0 1 6 286
0 1 6 286.333
0 1 5 286.666
0 0 1 287
0 0 1 287.333
0 0 2 287.666
0 0 2 288
1 0 2 289
0 1 8 290
1 1 9 291
0 0 5 292
1 0 5 293
0 1 0 294
1 1 1 295
0 1 8 296
1 0 5 297
0 1 9 298
1 0 5 299
0 1 0 300
0 1 0 300.333
0 1 0 300.666
0 0 7 301
0 0 7 301.333
0 0 7 301.666
0 1 4 302
0 1 4 302.333
0 1 4 302.666
0 0 7 303
0 0 7 303.333
0 0 7 303.666
1 1 4 304
0 1 4 305
0 1 4 306
2 1 4 307
1 0 8 308
0 0 7 309
0 0 7 310
2 0 5 311
1 1 5 312
0 0 2 313
0 0 2 314
2 0 2 315
0 1 2 316
0 1 3 316.333
0 1 2 316.666
0 1 7 317
0 1 6 317.333
0 1 7 317.666
0 1 2 318
0 1 1 318.333
0 1 2 318.666
2 1 9 319.333
2 1 9 319.666
2 1 9 319.666
1 0 7 320
2 1 7 322
1 1 3 324
2 0 7 326
1 0 0 328
0 0 1 329
2 0 1 330
2 0 2 331
0 1 8 332
2 1 8 333
2 1 7 334
2 1 6 335
1 0 3 336
0 0 0 338
1 1 8 340
0 1 4 342
1 0 0 344
0 0 0 345
0 0 1 346
0 0 2 347
